adCode,"parent","level","name","postcode",areaCode
110000,0,1,"北京市","",""
110101,110000,3,"东城区","",""
110102,110000,3,"西城区","",""
110105,110000,3,"朝阳区","",""
110106,110000,3,"丰台区","",""
110107,110000,3,"石景山区","",""
110108,110000,3,"海淀区","",""
110109,110000,3,"门头沟区","",""
110111,110000,3,"房山区","",""
110112,110000,3,"通州区","",""
110113,110000,3,"顺义区","",""
110114,110000,3,"昌平区","",""
110115,110000,3,"大兴区","",""
110116,110000,3,"怀柔区","",""
110117,110000,3,"平谷区","",""
110118,110000,3,"密云区","",""
110119,110000,3,"延庆区","",""
120000,0,1,"天津市","",""
120101,120000,3,"和平区","",""
120102,120000,3,"河东区","",""
120103,120000,3,"河西区","",""
120104,120000,3,"南开区","",""
120105,120000,3,"河北区","",""
120106,120000,3,"红桥区","",""
120110,120000,3,"东丽区","",""
120111,120000,3,"西青区","",""
120112,120000,3,"津南区","",""
120113,120000,3,"北辰区","",""
120114,120000,3,"武清区","",""
120115,120000,3,"宝坻区","",""
120116,120000,3,"滨海新区","",""
120117,120000,3,"宁河区","",""
120118,120000,3,"静海区","",""
120119,120000,3,"蓟州区","",""
130000,0,1,"河北省","",""
130100,130000,2,"石家庄市","",""
130102,130100,3,"长安区","",""
130104,130100,3,"桥西区","",""
130105,130100,3,"新华区","",""
130107,130100,3,"井陉矿区","",""
130108,130100,3,"裕华区","",""
130109,130100,3,"藁城区","",""
130110,130100,3,"鹿泉区","",""
130111,130100,3,"栾城区","",""
130121,130100,3,"井陉县","",""
130123,130100,3,"正定县","",""
130125,130100,3,"行唐县","",""
130126,130100,3,"灵寿县","",""
130127,130100,3,"高邑县","",""
130128,130100,3,"深泽县","",""
130129,130100,3,"赞皇县","",""
130130,130100,3,"无极县","",""
130131,130100,3,"平山县","",""
130132,130100,3,"元氏县","",""
130133,130100,3,"赵县","",""
130181,130100,3,"辛集市","",""
130183,130100,3,"晋州市","",""
130184,130100,3,"新乐市","",""
130200,130000,2,"唐山市","",""
130202,130200,3,"路南区","",""
130203,130200,3,"路北区","",""
130204,130200,3,"古冶区","",""
130205,130200,3,"开平区","",""
130207,130200,3,"丰南区","",""
130208,130200,3,"丰润区","",""
130209,130200,3,"曹妃甸区","",""
130224,130200,3,"滦南县","",""
130225,130200,3,"乐亭县","",""
130227,130200,3,"迁西县","",""
130229,130200,3,"玉田县","",""
130281,130200,3,"遵化市","",""
130283,130200,3,"迁安市","",""
130284,130200,3,"滦州市","",""
130300,130000,2,"秦皇岛市","",""
130302,130300,3,"海港区","",""
130303,130300,3,"山海关区","",""
130304,130300,3,"北戴河区","",""
130306,130300,3,"抚宁区","",""
130321,130300,3,"青龙满族自治县","",""
130322,130300,3,"昌黎县","",""
130324,130300,3,"卢龙县","",""
130400,130000,2,"邯郸市","",""
130402,130400,3,"邯山区","",""
130403,130400,3,"丛台区","",""
130404,130400,3,"复兴区","",""
130406,130400,3,"峰峰矿区","",""
130407,130400,3,"肥乡区","",""
130408,130400,3,"永年区","",""
130423,130400,3,"临漳县","",""
130424,130400,3,"成安县","",""
130425,130400,3,"大名县","",""
130426,130400,3,"涉县","",""
130427,130400,3,"磁县","",""
130430,130400,3,"邱县","",""
130431,130400,3,"鸡泽县","",""
130432,130400,3,"广平县","",""
130433,130400,3,"馆陶县","",""
130434,130400,3,"魏县","",""
130435,130400,3,"曲周县","",""
130481,130400,3,"武安市","",""
130500,130000,2,"邢台市","",""
130502,130500,3,"襄都区","",""
130503,130500,3,"信都区","",""
130505,130500,3,"任泽区","",""
