adCode,postcode
110000,100000
110100,100000
110101,100000
110102,100000
110105,100000
110106,100000
110107,100000
110108,100000
110109,102300
110111,102400
110112,101100
110113,101300
110114,102200
110115,102600
110116,101400
110117,101200
110118,101500
110119,102100
120000,300000
120100,300000
120101,300000
120102,300000
120103,300000
120104,300000
120105,300000
120106,300000
120110,300000
120111,300000
120112,300000
120113,300000
120114,301700
120115,301800
120116,300457
120117,301500
120118,301600
120119,301900
130000,050000
130100,050000
130102,050000
130104,050000
130105,050000
130107,050100
130108,050000
130109,052160
130110,050200
130111,051430
130121,050300
130123,050800
130125,050600
130126,050500
130127,051330
130128,052500
130129,051230
130130,052460
130131,050400
130132,051130
130133,051530
130171,050000
130172,050000
130181,052360
130183,052200
130184,050700
130200,063000
130202,063000
130203,063000
130204,063100
130205,063000
130207,063300
130208,063000
130209,063200
130224,063500
130225,063600
130227,064300
130229,064100
130271,063000
130272,063000
130273,063000
130274,063000
130281,064200
130283,064400
130284,063700
130300,066000
130302,066000
130303,066200
130304,066100
130306,066300
130321,066500
130322,066600
130324,066400
130371,066000
130372,066311
130400,056000
130402,056000
130403,056000
130404,056000
130406,056200
130407,057550
130408,057150
130423,056600
130424,056700
130425,056900
130426,056400
130427,056500
130430,057450
130431,057350
130432,057650
130433,057750
130434,056800
130435,057250
130471,056000
130473,056000
130481,056300
130500,054000
130502,054000
130503,054000
130521,054000
130522,054300
130523,054200
130524,055450
130525,055350
130526,055150
130527,054400
130528,055550
130529,055250
130530,051730
130531,054600
130532,054500
130533,054700
130534,054800
130535,054900
130571,054000
130581,051800
130582,054100
130600,071000
130602,071052
130606,071000
130607,072150
130608,071100
130609,072550
130623,074100
130624,073200
130626,072650
130627,072350
130628,071500
130629,071700
130630,074300
130631,072450
130632,071600
130633,074200
130634,073100
130635,071400
130636,072250
130637,071300
130638,071800
130671,071000
130672,071000
130681,072750
130682,073000
130683,071200
130684,074000
130700,075000
130702,075000
130703,075000
130705,075000
130706,075300
130708,076250
130709,076350
130722,076450
130723,076650
130724,076550
130725,076750
130726,075700
130727,075800
130728,076150
130730,075400
130731,075600
130732,075500
130771,075000
130772,075000
130773,075000
130800,067000
130802,067000
130803,067000
130804,067200
130821,067400
130822,067300
130824,068250
130825,068150
130826,068350
130827,067600
130828,068450
130871,067000
130881,067500
130900,061000
130902,061000
130903,061000
130921,061000
130922,062650
130923,061600
130924,061200
130925,061300
130926,062350
130927,061500
130928,061800
130929,062250
130930,061400
130971,061000
130972,061000
130973,061000
130981,062150
130982,062550
130983,061100
130984,062450
131000,065000
131002,065000
131003,065000
131022,065500
131023,065600
131024,065400
131025,065900
131026,065800
131028,065300
131071,065000
131081,065700
131082,065200
131100,053000
131102,053000
131103,053200
131121,053100
131122,053400
131123,053300
131124,053900
131125,053600
131126,053800
131127,053500
131128,053700
131171,053000
131172,053000
131182,053800
140000,030000
140100,030000
140105,030000
140106,030000
140107,030000
140108,030000
140109,030000
140110,030000
140121,030400
140122,030100
140123,030300
140171,030000
140181,030200
140200,037000
140212,037002
140213,037008
140214,037001
140215,037300
140221,038100
140222,038200
140223,037500
140224,034400
140225,037400
140226,037100
140271,037000
140300,045000
140302,045000
140303,045000
140311,045000
140321,045200
140322,045100
140400,046000
140403,046000
140404,047100
140405,046100
140406,047500
140423,046200
140425,047400
140426,047600
140427,047300
140428,046600
140429,046300
140430,046400
140431,046500
140471,046000
140500,048000
140502,048000
140521,048200
140522,048100
140524,048300
140525,048000
140581,048400
140600,036000
140602,036002
140603,036800
140621,036900
140622,037600
140623,037200
140671,036000
140681,038300
140700,030600
140702,030600
140721,031800
140722,032600
140723,032700
140724,045300
140725,045400
140726,030600
140727,030900
140728,031100
140729,031300
140781,032000
140800,044000
140802,044000
140821,044100
140822,044200
140823,043800
140824,043200
140825,043100
140826,043600
140827,043700
140828,044400
140829,044300
140830,044600
140881,044500
140882,043300
140900,034000
140902,034000
140921,035400
140922,035500
140923,034200
140924,034300
140925,036000
140926,035100
140927,036100
140928,036200
140929,036300
140930,036500
140931,036600
140932,036400
140971,034000
140981,034100
141000,041000
141002,041000
141021,043400
141022,043500
141023,041500
141024,031600
141025,042400
141026,042500
141027,042600
141028,042200
141029,042100
141030,042300
141031,041300
141032,041400
141033,041200
141034,031500
141081,043000
141082,031400
141100,033000
141102,033000
141121,032100
141122,030500
141123,033600
141124,033200
141125,033300
141126,032500
141127,035200
141128,033100
141129,033400
141130,032400
141181,032300
141182,032200
150000,010000
150100,010000
150102,010000
150103,010000
150104,010000
150105,010020
150121,010100
150122,010200
150123,011500
150124,011600
150125,011700
150171,010000
150172,010000
150200,014000
150202,014000
150203,014010
150204,014000
150205,014070
150206,014080
150207,014060
150221,014100
150222,014200
150223,014500
150271,014000
150300,016000
150302,016000
150303,016000
150304,016000
150400,024000
150402,024000
150403,024000
150404,024000
150421,025500
150422,025450
150423,025150
150424,025250
150425,025350
150426,024500
150428,024400
150429,024200
150430,024300
150500,028000
150502,028000
150521,029300
150522,028100
150523,028400
150524,028200
150525,028300
150526,029100
150571,028000
150581,029200
150600,017000
150602,017000
150603,017000
150621,014300
150622,017100
150623,016200
150624,016100
150625,017400
150626,017300
150627,017200
150700,021000
150702,021000
150703,021410
150721,162750
150722,162850
150723,022450
150724,021100
150725,021500
150726,021200
150727,021300
150781,021400
150782,022150
150783,162650
150784,022250
150785,022350
150800,015000
150802,015000
150821,015100
150822,015200
150823,014400
150824,015300
150825,015500
150826,015400
150900,012000
150902,012000
150921,012300
150922,013350
150923,013400
150924,013650
150925,013750
150926,012200
150927,013500
150928,012400
150929,011800
150981,012100
152200,137400
152201,137400
152202,137400
152221,137400
152222,029400
152223,137600
152224,137500
152500,026000
152501,012600
152502,026000
152522,011400
152523,011300
152524,011200
152525,026300
152526,026200
152527,027000
152528,013250
152529,013800
152530,027200
152531,027300
152571,026000
152900,750300
152921,750300
152922,737300
152923,735400
152971,750300
210000,110000
210100,110000
210102,110000
210103,110000
210104,110000
210105,110000
210106,110020
210111,110101
210112,110000
210113,110000
210114,110000
210115,110200
210123,110500
210124,110400
210181,110300
210200,116000
210202,116000
210203,116000
210204,116000
210211,116000
210212,116000
210213,116000
210214,116200
210224,116500
210281,116300
210283,116400
210300,114000
210302,114000
210303,114000
210304,114031
210311,114000
210321,114100
210323,114300
210381,114200
210400,113000
210402,113000
210403,113000
210404,113000
210411,113000
210421,113100
210422,113200
210423,113300
210500,117000
210502,117000
210503,117000
210504,117000
210505,117000
210521,117100
210522,117200
210600,118000
210602,118000
210603,118000
210604,118000
210624,118200
210681,118300
210682,118100
210700,121000
210702,121000
210703,121000
210711,121000
210726,121400
210727,121100
210781,121200
210782,121300
210800,115000
210802,115000
210803,115000
210804,115000
210811,115000
210881,115200
210882,115100
210900,123000
210902,123000
210903,123000
210904,123000
210905,123000
210911,123000
210921,123100
210922,123200
211000,111000
211002,111000
211003,111000
211004,111000
211005,111000
211011,111000
211021,111200
211081,111300
211100,124000
211102,124000
211103,124000
211104,124200
211122,124100
211200,112000
211202,112000
211204,112000
211221,112600
211223,112400
211224,112500
211281,112700
211282,112300
211300,122000
211302,122000
211303,122000
211321,122000
211322,122400
211324,122300
211381,122100
211382,122500
211400,125000
211402,125000
211403,125000
211404,125000
211421,125200
211422,125300
211481,125100
220000,130000
220100,130000
220102,130000
220103,130000
220104,130000
220105,130000
220106,130000
220112,130600
220113,130500
220122,130200
220171,130000
220172,130000
220173,130000
220174,130000
220182,130400
220183,130300
220200,132000
220202,132000
220203,132000
220204,132000
220211,132000
220221,132100
220271,132000
220272,132000
220273,132000
220281,132500
220282,132400
220283,132600
220284,132300
220300,136000
220302,136000
220303,136000
220322,136500
220323,130700
220381,136100
220382,136400
220400,136200
220402,136200
220403,136200
220421,136300
220422,136600
220500,134000
220502,134000
220503,134000
220521,134100
220523,135100
220524,135300
220581,135000
220582,134200
220600,134300
220602,134300
220605,134700
220621,134500
220622,135200
220623,134400
220681,134600
220700,138000
220702,138000
220721,131100
220722,131500
220723,131400
220771,138000
220781,131200
220800,137000
220802,137000
220821,137300
220822,137200
220871,137000
220881,137100
220882,131300
222400,133000
222401,133000
222402,133100
222403,133700
222404,133300
222405,133400
222406,133500
222424,133200
222426,133600
230000,150000
230100,150000
230102,150000
230103,150000
230104,150000
230108,150000
230109,150000
230110,150000
230111,150500
230112,150000
230113,150100
230123,154800
230124,150800
230125,150400
230126,151800
230127,151900
230128,150900
230129,150700
230183,150600
230184,150200
230200,161000
230202,161000
230203,161000
230204,161000
230205,161000
230206,161000
230207,161000
230208,161000
230221,161100
230223,161500
230224,162400
230225,162100
230227,161200
230229,161600
230230,164800
230231,164700
230281,161300
230300,158100
230302,158100
230303,158100
230304,158100
230305,158100
230306,158100
230307,158100
230321,158200
230381,158400
230382,158300
230400,154100
230402,154100
230403,154100
230404,154100
230405,154100
230406,154100
230407,154100
230421,154200
230422,156200
230500,155100
230502,155100
230503,155100
230505,155100
230506,155100
230521,155900
230522,155800
230523,155600
230524,155700
230600,163000
230602,163000
230603,163000
230604,163000
230605,163000
230606,163000
230621,166400
230622,166500
230623,166300
230624,166200
230671,163000
230700,153000
230717,153000
230718,153000
230719,153031
230722,153200
230723,153000
230724,153000
230725,153106
230726,153100
230751,153000
230781,152500
230800,154000
230803,154000
230804,154000
230805,154000
230811,154000
230822,154400
230826,154300
230828,154700
230881,156400
230882,156100
230883,156500
230900,154600
230902,154600
230903,154600
230904,154600
230921,154500
231000,157000
231002,157000
231003,157000
231004,157000
231005,157000
231025,157600
231071,157000
231081,157300
231083,157100
231084,157400
231085,157500
231086,157200
231100,164300
231102,164300
231123,164400
231124,164200
231181,164000
231182,164100
231183,161400
231200,152000
231202,152000
231221,152100
231222,151500
231223,151600
231224,152400
231225,151700
231226,152200
231281,151400
231282,151100
231283,152300
232700,165000
232701,165300
232721,165100
232722,165200
232761,165000
232762,165020
232763,165010
232764,165030
310000,200000
310100,200000
310101,200001
310104,200030
310105,200050
310106,200040
310107,200333
310109,200080
310110,200082
310112,201100
310113,201900
310114,201800
310115,200120
310116,201500
310117,201600
310118,201700
310120,201400
310151,202150
320000,210000
320100,210000
320102,210000
320104,210000
320105,210000
320106,210000
320111,210000
320113,210000
320114,210000
320115,211100
320116,211500
320117,211200
320118,211300
320200,214000
320205,214000
320206,214000
320211,214123
320213,214002
320214,214028
320281,214400
320282,214200
320300,221000
320302,221005
320303,221007
320305,221003
320311,221006
320312,221106
320321,221700
320322,221600
320324,221200
320371,221000
320381,221400
320382,221300
320400,213000
320402,213000
320404,213000
320411,213022
320412,213100
320413,213200
320481,213300
320500,215000
320505,215004
320506,215128
320507,215131
320508,215031
320509,215200
320571,215000
320581,215500
320582,215600
320583,215300
320585,215400
320600,226000
320602,226000
320611,226000
320612,226300
320623,226400
320671,226000
320681,226200
320682,226500
320684,226100
320685,226600
320700,222000
320703,222000
320706,222000
320707,222100
320722,222300
320723,222200
320724,223500
320771,222000
320772,222000
320800,223000
320803,223200
320804,223300
320812,223001
320813,223100
320826,223400
320830,211700
320831,211600
320871,223000
320900,224000
320902,224005
320903,224000
320904,224100
320921,224600
320922,224500
320923,224400
320924,224300
320925,224700
320971,224000
320981,224200
321000,225000
321002,225000
321003,225100
321012,225200
321023,225800
321071,225000
321081,211400
321084,225600
321100,212000
321102,212000
321111,212000
321112,212100
321171,212000
321181,212300
321182,212200
321183,212400
321200,225300
321202,225300
321203,225300
321204,225500
321271,225300
321281,225700
321282,214500
321283,225400
321300,223800
321302,223800
321311,223800
321322,223600
321323,223700
321324,223900
321371,223800
330000,310000
330100,310000
330102,310000
330103,310000
330104,310000
330105,310000
330106,310000
330108,310000
330109,311200
330110,311100
330111,311400
330112,311300
330122,311500
330127,311700
330182,311600
330200,315000
330203,315000
330205,315000
330206,315800
330211,315200
330212,315100
330213,315500
330225,315700
330226,315600
330281,315400
330282,315300
330300,325000
330302,325000
330303,325000
330304,325000
330305,325700
330324,325100
330326,325400
330327,325800
330328,325300
330329,325500
330371,325000
330381,325200
330382,325600
330383,325000
330400,314000
330402,314051
330411,314031
330421,314100
330424,314300
330481,314400
330482,314200
330483,314500
330500,313000
330502,313000
330503,313000
330521,313200
330522,313100
330523,313300
330600,312000
330602,312000
330603,312030
330604,312300
330624,312500
330681,311800
330683,312400
330700,321000
330702,321000
330703,321000
330723,321200
330726,322200
330727,322300
330781,321100
330782,322000
330783,322100
330784,321300
330800,324000
330802,324000
330803,324000
330822,324200
330824,324300
330825,324400
330881,324100
330900,316000
330902,316000
330903,316100
330921,316200
330922,202450
331000,318000
331002,317700
331003,318020
331004,318000
331022,317100
